outer_fold,well_id,grid_row,grid_col,is_edge,inner_fold,ml_role,dl_role
1,E12,5,12,1,2,train,train
1,F01,6,1,1,0,test,test
1,F02,6,2,0,1,train,validation
1,F03,6,3,0,3,train,train
1,F04,6,4,0,1,train,validation
1,F05,6,5,0,4,train,train
1,F06,6,6,0,1,train,validation
1,F07,6,7,0,3,train,train
1,F08,6,8,0,1,train,validation
1,F09,6,9,0,5,train,train
1,F10,6,10,0,3,train,train
1,F11,6,11,0,1,train,validation
1,F12,6,12,1,0,test,test
1,G01,7,1,1,3,train,train
1,G02,7,2,0,4,train,train
1,G03,7,3,0,2,train,train
1,G04,7,4,0,1,train,validation
1,G05,7,5,0,3,train,train
1,G06,7,6,0,0,test,test
1,G07,7,7,0,4,train,train
1,G08,7,8,0,3,train,train
1,G09,7,9,0,0,test,test
1,G10,7,10,0,4,train,train
1,G11,7,11,0,0,test,test
1,G12,7,12,1,0,test,test
1,H01,8,1,1,3,train,train
1,H02,8,2,1,1,train,validation
1,H03,8,3,1,5,train,train
1,H04,8,4,1,2,train,train
1,H05,8,5,1,0,test,test
1,H06,8,6,1,4,train,train
1,H07,8,7,1,1,train,validation
1,H08,8,8,1,5,train,train
1,H09,8,9,1,2,train,train
1,H10,8,10,1,3,train,train
1,H11,8,11,1,3,train,train
1,H12,8,12,1,4,train,train
2,A01,1,1,1,3,train,train
2,A02,1,2,1,1,train,validation
2,A03,1,3,1,3,train,train
2,A04,1,4,1,0,test,test
2,A05,1,5,1,1,train,validation
2,A06,1,6,1,5,train,train
2,A07,1,7,1,5,train,train
2,A08,1,8,1,2,train,train
2,A09,1,9,1,1,train,validation
2,A10,1,10,1,4,train,train
2,A11,1,11,1,1,train,validation
2,A12,1,12,1,5,train,train
2,B01,2,1,1,2,train,train
2,B02,2,2,0,1,train,validation
2,B03,2,3,0,1,train,validation
2,B04,2,4,0,0,test,test
2,B05,2,5,0,1,train,validation
2,B06,2,6,0,4,train,train
2,B07,2,7,0,3,train,train
2,B08,2,8,0,0,test,test
2,B09,2,9,0,2,train,train
2,B10,2,10,0,0,test,test
2,B11,2,11,0,5,train,train
2,B12,2,12,1,0,test,test
2,C01,3,1,1,4,train,train
2,C02,3,2,0,5,train,train
2,C03,3,3,0,4,train,train
2,C04,3,4,0,0,test,test
2,C05,3,5,0,1,train,validation
2,C06,3,6,0,5,train,train
2,C07,3,7,0,1,train,validation
2,C08,3,8,0,0,test,test
2,C09,3,9,0,1,train,validation
2,C10,3,10,0,3,train,train
2,C11,3,11,0,5,train,train
2,C12,3,12,1,0,test,test
2,D01,4,1,1,3,train,train
2,D02,4,2,0,5,train,train
2,D03,4,3,0,2,train,train
2,D04,4,4,0,5,train,train
2,D05,4,5,0,4,train,train
2,D06,4,6,0,3,train,train
2,D07,4,7,0,0,test,test
2,D08,4,8,0,3,train,train
2,D09,4,9,0,1,train,validation
2,D10,4,10,0,2,train,train
2,D11,4,11,0,3,train,train
2,D12,4,12,1,5,train,train
2,E01,5,1,1,2,train,train
2,E02,5,2,0,4,train,train
2,E03,5,3,0,3,train,train
2,E04,5,4,0,4,train,train
2,E05,5,5,0,2,train,train
2,E06,5,6,0,1,train,validation
2,E07,5,7,0,0,test,test
2,E08,5,8,0,4,train,train
2,E09,5,9,0,5,train,train
2,E10,5,10,0,3,train,train
2,E11,5,11,0,2,train,train
2,E12,5,12,1,1,train,validation
2,F01,6,1,1,5,train,train
2,F02,6,2,0,0,test,test
2,F03,6,3,0,2,train,train
2,F04,6,4,0,2,train,train
2,F05,6,5,0,0,test,test
2,F06,6,6,0,0,test,test
2,F07,6,7,0,3,train,train
2,F08,6,8,0,3,train,train
2,F09,6,9,0,1,train,validation
2,F10,6,10,0,0,test,test
2,F11,6,11,0,5,train,train
2,F12,6,12,1,2,train,train
2,G01,7,1,1,3,train,train
2,G02,7,2,0,4,train,train
2,G03,7,3,0,0,test,test
2,G04,7,4,0,5,train,train
2,G05,7,5,0,2,train,train
2,G06,7,6,0,2,train,train
2,G07,7,7,0,4,train,train
2,G08,7,8,0,4,train,train
2,G09,7,9,0,3,train,train
2,G10,7,10,0,2,train,train
2,G11,7,11,0,1,train,validation
2,G12,7,12,1,2,train,train
2,H01,8,1,1,0,test,test
2,H02,8,2,1,0,test,test
2,H03,8,3,1,4,train,train
2,H04,8,4,1,0,test,test
2,H05,8,5,1,4,train,train
2,H06,8,6,1,0,test,test
2,H07,8,7,1,1,train,validation
2,H08,8,8,1,5,train,train
2,H09,8,9,1,4,train,train
2,H10,8,10,1,2,train,train
2,H11,8,11,1,4,train,train
2,H12,8,12,1,3,train,train
3,A01,1,1,1,3,train,train
3,A02,1,2,1,2,train,train
3,A03,1,3,1,2,train,train
3,A04,1,4,1,5,train,train
3,A05,1,5,1,4,train,train
3,A06,1,6,1,1,train,validation
3,A07,1,7,1,0,test,test
3,A08,1,8,1,0,test,test
3,A09,1,9,1,4,train,train
3,A10,1,10,1,0,test,test
3,A11,1,11,1,5,train,train
3,A12,1,12,1,4,train,train
3,B01,2,1,1,0,test,test
3,B02,2,2,0,5,train,train
3,B03,2,3,0,4,train,train
3,B04,2,4,0,1,train,validation
3,B05,2,5,0,2,train,train
3,B06,2,6,0,5,train,train
3,B07,2,7,0,1,train,validation
3,B08,2,8,0,4,train,train
3,B09,2,9,0,4,train,train
3,B10,2,10,0,1,train,validation
3,B11,2,11,0,0,test,test
3,B12,2,12,1,3,train,train
3,C01,3,1,1,5,train,train
3,C02,3,2,0,0,test,test
3,C03,3,3,0,4,train,train
3,C04,3,4,0,5,train,train
3,C05,3,5,0,0,test,test
3,C06,3,6,0,5,train,train
3,C07,3,7,0,2,train,train
3,C08,3,8,0,5,train,train
3,C09,3,9,0,3,train,train
3,C10,3,10,0,0,test,test
3,C11,3,11,0,4,train,train
3,C12,3,12,1,1,train,validation
3,D01,4,1,1,4,train,train
3,D02,4,2,0,3,train,train
3,D03,4,3,0,5,train,train
3,D04,4,4,0,1,train,validation
3,D05,4,5,0,0,test,test
3,D06,4,6,0,4,train,train
3,D07,4,7,0,1,train,validation
3,D08,4,8,0,1,train,validation
3,D09,4,9,0,0,test,test
3,D10,4,10,0,0,test,test
3,D11,4,11,0,4,train,train
3,D12,4,12,1,3,train,train
3,E01,5,1,1,5,train,train
3,E02,5,2,0,3,train,train
3,E03,5,3,0,4,train,train
3,E04,5,4,0,3,train,train
3,E05,5,5,0,1,train,validation
3,E06,5,6,0,2,train,train
3,E07,5,7,0,2,train,train
3,E08,5,8,0,4,train,train
3,E09,5,9,0,5,train,train
3,E10,5,10,0,5,train,train
3,E11,5,11,0,2,train,train
3,E12,5,12,1,5,train,train
3,F01,6,1,1,2,train,train
3,F02,6,2,0,3,train,train
3,F03,6,3,0,3,train,train
3,F04,6,4,0,0,test,test
3,F05,6,5,0,2,train,train
3,F06,6,6,0,3,train,train
3,F07,6,7,0,1,train,validation
3,F08,6,8,0,2,train,train
3,F09,6,9,0,1,train,validation
3,F10,6,10,0,2,train,train
3,F11,6,11,0,3,train,train
3,F12,6,12,1,2,train,train
3,G01,7,1,1,5,train,train
3,G02,7,2,0,0,test,test
3,G03,7,3,0,3,train,train
3,G04,7,4,0,0,test,test
3,G05,7,5,0,1,train,validation
3,G06,7,6,0,2,train,train
3,G07,7,7,0,0,test,test
3,G08,7,8,0,0,test,test
3,G09,7,9,0,5,train,train
3,G10,7,10,0,4,train,train
3,G11,7,11,0,2,train,train
3,G12,7,12,1,1,train,validation
3,H01,8,1,1,1,train,validation
3,H02,8,2,1,3,train,train
3,H03,8,3,1,2,train,train
3,H04,8,4,1,3,train,train
3,H05,8,5,1,4,train,train
3,H06,8,6,1,1,train,validation
3,H07,8,7,1,1,train,validation
3,H08,8,8,1,3,train,train
3,H09,8,9,1,0,test,test
3,H10,8,10,1,0,test,test
3,H11,8,11,1,2,train,train
3,H12,8,12,1,0,test,test
4,A01,1,1,1,0,test,test
4,A02,1,2,1,0,test,test
4,A03,1,3,1,0,test,test
4,A04,1,4,1,1,train,validation
4,A05,1,5,1,2,train,train
4,A06,1,6,1,3,train,train
4,A07,1,7,1,3,train,train
4,A08,1,8,1,5,train,train
4,A09,1,9,1,5,train,train
4,A10,1,10,1,2,train,train
4,A11,1,11,1,1,train,validation
4,A12,1,12,1,4,train,train
4,B01,2,1,1,3,train,train
4,B02,2,2,0,5,train,train
4,B03,2,3,0,0,test,test
4,B04,2,4,0,2,train,train
4,B05,2,5,0,2,train,train
4,B06,2,6,0,0,test,test
4,B07,2,7,0,0,test,test
4,B08,2,8,0,3,train,train
4,B09,2,9,0,2,train,train
4,B10,2,10,0,3,train,train
4,B11,2,11,0,2,train,train
4,B12,2,12,1,5,train,train
4,C01,3,1,1,1,train,validation
4,C02,3,2,0,1,train,validation
4,C03,3,3,0,2,train,train
4,C04,3,4,0,3,train,train
4,C05,3,5,0,3,train,train
4,C06,3,6,0,0,test,test
4,C07,3,7,0,0,test,test
4,C08,3,8,0,1,train,validation
4,C09,3,9,0,1,train,validation
4,C10,3,10,0,4,train,train
4,C11,3,11,0,5,train,train
4,C12,3,12,1,1,train,validation
4,D01,4,1,1,5,train,train
4,D02,4,2,0,5,train,train
4,D03,4,3,0,3,train,train
4,D04,4,4,0,5,train,train
4,D05,4,5,0,4,train,train
4,D06,4,6,0,5,train,train
4,D07,4,7,0,5,train,train
4,D08,4,8,0,5,train,train
4,D09,4,9,0,4,train,train
4,D10,4,10,0,5,train,train
4,D11,4,11,0,0,test,test
4,D12,4,12,1,0,test,test
4,E01,5,1,1,5,train,train
4,E02,5,2,0,1,train,validation
4,E03,5,3,0,4,train,train
4,E04,5,4,0,0,test,test
4,E05,5,5,0,2,train,train
4,E06,5,6,0,4,train,train
4,E07,5,7,0,5,train,train
4,E08,5,8,0,1,train,validation
4,E09,5,9,0,1,train,validation
4,E10,5,10,0,3,train,train
4,E11,5,11,0,4,train,train
4,E12,5,12,1,0,test,test
4,F01,6,1,1,2,train,train
4,F02,6,2,0,2,train,train
4,F03,6,3,0,4,train,train
4,F04,6,4,0,3,train,train
4,F05,6,5,0,1,train,validation
4,F06,6,6,0,4,train,train
4,F07,6,7,0,0,test,test
4,F08,6,8,0,0,test,test
4,F09,6,9,0,0,test,test
4,F10,6,10,0,2,train,train
4,F11,6,11,0,0,test,test
4,F12,6,12,1,4,train,train
4,G01,7,1,1,0,test,test
4,G02,7,2,0,2,train,train
4,G03,7,3,0,2,train,train
4,G04,7,4,0,3,train,train
4,G05,7,5,0,0,test,test
4,G06,7,6,0,4,train,train
4,G07,7,7,0,1,train,validation
4,G08,7,8,0,4,train,train
4,G09,7,9,0,3,train,train
4,G10,7,10,0,1,train,validation
4,G11,7,11,0,1,train,validation
4,G12,7,12,1,3,train,train
4,H01,8,1,1,4,train,train
4,H02,8,2,1,1,train,validation
4,H03,8,3,1,2,train,train
4,H04,8,4,1,1,train,validation
4,H05,8,5,1,4,train,train
4,H06,8,6,1,3,train,train
4,H07,8,7,1,0,test,test
4,H08,8,8,1,5,train,train
4,H09,8,9,1,2,train,train
4,H10,8,10,1,4,train,train
4,H11,8,11,1,2,train,train
4,H12,8,12,1,3,train,train
5,A01,1,1,1,2,train,train
5,A02,1,2,1,1,train,validation
5,A03,1,3,1,5,train,train
5,A04,1,4,1,5,train,train
5,A05,1,5,1,0,test,test
5,A06,1,6,1,5,train,train
5,A07,1,7,1,1,train,validation
5,A08,1,8,1,3,train,train
5,A09,1,9,1,0,test,test
5,A10,1,10,1,3,train,train
5,A11,1,11,1,1,train,validation
5,A12,1,12,1,1,train,validation
5,B01,2,1,1,4,train,train
5,B02,2,2,0,0,test,test
5,B03,2,3,0,1,train,validation
5,B04,2,4,0,2,train,train
5,B05,2,5,0,0,test,test
5,B06,2,6,0,1,train,validation
5,B07,2,7,0,4,train,train
5,B08,2,8,0,5,train,train
5,B09,2,9,0,0,test,test
5,B10,2,10,0,4,train,train
5,B11,2,11,0,1,train,validation
5,B12,2,12,1,4,train,train
5,C01,3,1,1,1,train,validation
5,C02,3,2,0,2,train,train
5,C03,3,3,0,5,train,train
5,C04,3,4,0,5,train,train
5,C05,3,5,0,3,train,train
5,C06,3,6,0,2,train,train
5,C07,3,7,0,5,train,train
5,C08,3,8,0,3,train,train
5,C09,3,9,0,4,train,train
5,C10,3,10,0,5,train,train
5,C11,3,11,0,0,test,test
5,C12,3,12,1,2,train,train
5,D01,4,1,1,0,test,test
5,D02,4,2,0,1,train,validation
5,D03,4,3,0,1,train,validation
5,D04,4,4,0,0,test,test
5,D05,4,5,0,1,train,validation
5,D06,4,6,0,0,test,test
5,D07,4,7,0,4,train,train
5,D08,4,8,0,0,test,test
5,D09,4,9,0,4,train,train
5,D10,4,10,0,1,train,validation
5,D11,4,11,0,3,train,train
5,D12,4,12,1,4,train,train
5,E01,5,1,1,0,test,test
5,E02,5,2,0,2,train,train
5,E03,5,3,0,4,train,train
5,E04,5,4,0,1,train,validation
5,E05,5,5,0,0,test,test
5,E06,5,6,0,0,test,test
5,E07,5,7,0,5,train,train
5,E08,5,8,0,4,train,train
5,E09,5,9,0,0,test,test
5,E10,5,10,0,3,train,train
5,E11,5,11,0,5,train,train
5,E12,5,12,1,3,train,train
5,F01,6,1,1,5,train,train
5,F02,6,2,0,5,train,train
5,F03,6,3,0,0,test,test
5,F04,6,4,0,5,train,train
5,F05,6,5,0,2,train,train
5,F06,6,6,0,3,train,train
5,F07,6,7,0,3,train,train
5,F08,6,8,0,3,train,train
5,F09,6,9,0,2,train,train
5,F10,6,10,0,4,train,train
5,F11,6,11,0,4,train,train
5,F12,6,12,1,4,train,train
5,G01,7,1,1,3,train,train
5,G02,7,2,0,3,train,train
5,G03,7,3,0,3,train,train
5,G04,7,4,0,1,train,validation
5,G05,7,5,0,2,train,train
5,G06,7,6,0,2,train,train
5,G07,7,7,0,4,train,train
5,G08,7,8,0,2,train,train
5,G09,7,9,0,2,train,train
5,G10,7,10,0,0,test,test
5,G11,7,11,0,1,train,validation
5,G12,7,12,1,3,train,train
5,H01,8,1,1,1,train,validation
5,H02,8,2,1,5,train,train
5,H03,8,3,1,0,test,test
5,H04,8,4,1,2,train,train
5,H05,8,5,1,5,train,train
5,H06,8,6,1,2,train,train
5,H07,8,7,1,4,train,train
5,H08,8,8,1,0,test,test
5,H09,8,9,1,2,train,train
5,H10,8,10,1,2,train,train
5,H11,8,11,1,0,test,test
5,H12,8,12,1,3,train,train
