well_id,grid_row,grid_col,is_edge,outer_test_fold,dl_role_outer_1,dl_role_outer_2,dl_role_outer_3,dl_role_outer_4,dl_role_outer_5,inner_fold_outer_1,inner_fold_outer_2,inner_fold_outer_3,inner_fold_outer_4,inner_fold_outer_5
E10,5,10,0,1,test,train,train,train,train,0,3,5,3,3
E11,5,11,0,1,test,train,train,train,train,0,2,2,4,5
E12,5,12,1,4,train,validation,train,test,train,2,1,5,0,3
F01,6,1,1,1,test,train,train,train,train,0,5,2,2,5
F02,6,2,0,2,validation,test,train,train,train,1,0,3,2,5
F03,6,3,0,5,train,train,train,train,test,3,2,3,4,0
F04,6,4,0,3,validation,train,test,train,train,1,2,0,3,5
F05,6,5,0,2,train,test,train,validation,train,4,0,2,1,2
F06,6,6,0,2,validation,test,train,train,train,1,0,3,4,3
F07,6,7,0,4,train,train,validation,test,train,3,3,1,0,3
F08,6,8,0,4,validation,train,train,test,train,1,3,2,0,3
F09,6,9,0,4,train,validation,validation,test,train,5,1,1,0,2
F10,6,10,0,2,train,test,train,train,train,3,0,2,2,4
F11,6,11,0,4,validation,train,train,test,train,1,5,3,0,4
F12,6,12,1,1,test,train,train,train,train,0,2,2,4,4
G01,7,1,1,4,train,train,train,test,train,3,3,5,0,3
G02,7,2,0,3,train,train,test,train,train,4,4,0,2,3
G03,7,3,0,2,train,test,train,train,train,2,0,3,2,3
G04,7,4,0,3,validation,train,test,train,validation,1,5,0,3,1
G05,7,5,0,4,train,train,validation,test,train,3,2,1,0,2
G06,7,6,0,1,test,train,train,train,train,0,2,2,4,2
G07,7,7,0,3,train,train,test,validation,train,4,4,0,1,4
G08,7,8,0,3,train,train,test,train,train,3,4,0,4,2
G09,7,9,0,1,test,train,train,train,train,0,3,5,3,2
G10,7,10,0,5,train,train,train,validation,test,4,2,4,1,0
G11,7,11,0,1,test,validation,train,validation,validation,0,1,2,1,1
G12,7,12,1,1,test,train,validation,train,train,0,2,1,3,3
H01,8,1,1,2,train,test,validation,train,validation,3,0,1,4,1
H02,8,2,1,2,validation,test,train,validation,train,1,0,3,1,5
H03,8,3,1,5,train,train,train,train,test,5,4,2,2,0
H04,8,4,1,2,train,test,train,validation,train,2,0,3,1,2
H05,8,5,1,1,test,train,train,train,train,0,4,4,4,5
H06,8,6,1,2,train,test,validation,train,train,4,0,1,3,2
H07,8,7,1,4,validation,validation,validation,test,train,1,1,1,0,4
H08,8,8,1,5,train,train,train,train,test,5,5,3,5,0
H09,8,9,1,3,train,train,test,train,train,2,4,0,2,2
H10,8,10,1,3,train,train,test,train,train,3,2,0,4,2
H11,8,11,1,5,train,train,train,train,test,3,4,2,2,0
H12,8,12,1,3,train,train,test,train,train,4,3,0,3,3
