patch_id,image_id,analyte,concentration_order,concentration_mg_ml,well_id,grid_row,grid_col,crop_file,outer_test_fold
glucose_02_c0.01_wE12,glucose_02_c0.01,glucose,2,0.01,E12,5,12,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wE12.png,4
glucose_02_c0.01_wF01,glucose_02_c0.01,glucose,2,0.01,F01,6,1,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wF01.png,1
glucose_02_c0.01_wF02,glucose_02_c0.01,glucose,2,0.01,F02,6,2,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wF02.png,2
glucose_02_c0.01_wF03,glucose_02_c0.01,glucose,2,0.01,F03,6,3,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wF03.png,5
glucose_02_c0.01_wF04,glucose_02_c0.01,glucose,2,0.01,F04,6,4,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wF04.png,3
glucose_02_c0.01_wF05,glucose_02_c0.01,glucose,2,0.01,F05,6,5,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wF05.png,2
glucose_02_c0.01_wF06,glucose_02_c0.01,glucose,2,0.01,F06,6,6,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wF06.png,2
glucose_02_c0.01_wF07,glucose_02_c0.01,glucose,2,0.01,F07,6,7,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wF07.png,4
glucose_02_c0.01_wF08,glucose_02_c0.01,glucose,2,0.01,F08,6,8,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wF08.png,4
glucose_02_c0.01_wF09,glucose_02_c0.01,glucose,2,0.01,F09,6,9,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wF09.png,4
glucose_02_c0.01_wF10,glucose_02_c0.01,glucose,2,0.01,F10,6,10,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wF10.png,2
glucose_02_c0.01_wF11,glucose_02_c0.01,glucose,2,0.01,F11,6,11,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wF11.png,4
glucose_02_c0.01_wF12,glucose_02_c0.01,glucose,2,0.01,F12,6,12,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wF12.png,1
glucose_02_c0.01_wG01,glucose_02_c0.01,glucose,2,0.01,G01,7,1,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wG01.png,4
glucose_02_c0.01_wG02,glucose_02_c0.01,glucose,2,0.01,G02,7,2,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wG02.png,3
glucose_02_c0.01_wG03,glucose_02_c0.01,glucose,2,0.01,G03,7,3,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wG03.png,2
glucose_02_c0.01_wG04,glucose_02_c0.01,glucose,2,0.01,G04,7,4,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wG04.png,3
glucose_02_c0.01_wG05,glucose_02_c0.01,glucose,2,0.01,G05,7,5,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wG05.png,4
glucose_02_c0.01_wG06,glucose_02_c0.01,glucose,2,0.01,G06,7,6,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wG06.png,1
glucose_02_c0.01_wG07,glucose_02_c0.01,glucose,2,0.01,G07,7,7,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wG07.png,3
glucose_02_c0.01_wG08,glucose_02_c0.01,glucose,2,0.01,G08,7,8,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wG08.png,3
glucose_02_c0.01_wG09,glucose_02_c0.01,glucose,2,0.01,G09,7,9,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wG09.png,1
glucose_02_c0.01_wG10,glucose_02_c0.01,glucose,2,0.01,G10,7,10,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wG10.png,5
glucose_02_c0.01_wG11,glucose_02_c0.01,glucose,2,0.01,G11,7,11,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wG11.png,1
glucose_02_c0.01_wG12,glucose_02_c0.01,glucose,2,0.01,G12,7,12,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wG12.png,1
glucose_02_c0.01_wH01,glucose_02_c0.01,glucose,2,0.01,H01,8,1,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wH01.png,2
glucose_02_c0.01_wH02,glucose_02_c0.01,glucose,2,0.01,H02,8,2,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wH02.png,2
glucose_02_c0.01_wH03,glucose_02_c0.01,glucose,2,0.01,H03,8,3,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wH03.png,5
