patch_id,image_id,analyte,concentration_order,concentration_mg_ml,well_id,grid_row,grid_col,crop_file,circle_radius_px,r_mean,r_median,r_std,r_iqr,g_mean,g_median,g_std,g_iqr,b_mean,b_median,b_std,b_iqr,s_mean,s_median,s_std,s_iqr,v_mean,v_median,v_std,v_iqr,h_circular_mean_deg,h_circular_std_deg,h_resultant_length,h_sin_weighted,h_cos_weighted,r_chromaticity_mean,r_chromaticity_median,g_chromaticity_mean,g_chromaticity_median,b_chromaticity_mean,b_chromaticity_median,intensity_mean,intensity_median,r_bg_median,g_bg_median,b_bg_median,r_delta_bg,g_delta_bg,b_delta_bg,r_ratio_bg,g_ratio_bg,b_ratio_bg,roi_pixel_count,valid_pixel_count,highlight_pixel_count,highlight_fraction,valid_fraction,dark_fraction,background_pixel_count,qc_status,qc_reason
glucose_01_c0_wA11,glucose_01_c0,glucose,1,0.0,A11,1,11,crops/glucose/glucose_01_c0/glucose_01_c0_wA11.png,65.749,105.815355,106.0,6.961196,8.0,121.335487,121.0,7.121518,7.25,138.872296,139.0,6.817895,8.0,0.238535,0.239216,0.0144,0.019608,0.544597,0.545098,0.026737,0.031373,212.128769,2.161962,0.999288,-0.531445,-0.846252,0.288946,0.289189,0.331468,0.32987,0.379586,0.379947,122.007712,122.333333,206.0,210.0,209.0,-100.0,-89.0,-70.0,0.514563,0.57619,0.665072,6656,6656,0,0.0,1.0,0.0,3305,pass,
glucose_01_c0_wA12,glucose_01_c0,glucose,1,0.0,A12,1,12,crops/glucose/glucose_01_c0/glucose_01_c0_wA12.png,62.159,104.387796,105.0,8.83066,9.0,117.512355,118.0,8.862525,9.0,135.254833,135.0,8.626928,9.0,0.229158,0.227451,0.018166,0.023529,0.530411,0.529412,0.033831,0.035294,214.689397,1.409318,0.999698,-0.568955,-0.822001,0.292031,0.292614,0.328977,0.32948,0.378992,0.378223,119.051661,119.333333,86.0,94.0,99.0,19.0,24.0,36.0,1.22093,1.255319,1.363636,5949,5949,0,0.0,1.0,0.0,2956,pass,
glucose_01_c0_wB01,glucose_01_c0,glucose,1,0.0,B01,2,1,crops/glucose/glucose_01_c0/glucose_01_c0_wB01.png,64.627,125.74176,126.0,5.616087,6.0,143.189832,144.0,5.532851,5.0,164.974502,165.0,5.647307,5.0,0.2381,0.239216,0.01002,0.011765,0.646959,0.647059,0.022146,0.019608,213.945337,1.805693,0.999504,-0.558124,-0.829159,0.289723,0.289786,0.330003,0.330254,0.380274,0.38041,144.635365,145.333333,213.5,220.0,224.0,-87.5,-76.0,-59.0,0.590164,0.654545,0.736607,6432,6432,0,0.0,1.0,0.0,3188,pass,
glucose_01_c0_wB02,glucose_01_c0,glucose,1,0.0,B02,2,2,crops/glucose/glucose_01_c0/glucose_01_c0_wB02.png,64.403,111.564857,112.0,7.565712,8.0,128.249413,129.0,7.706013,8.0,150.528712,151.0,7.629695,8.0,0.259524,0.258824,0.014167,0.015686,0.590309,0.592157,0.02992,0.031373,214.860514,1.513101,0.999651,-0.571381,-0.82026,0.285655,0.286082,0.32853,0.327543,0.385815,0.38539,130.114327,130.333333,211.0,217.0,221.0,-99.0,-88.0,-70.0,0.530806,0.59447,0.683258,6391,6391,0,0.0,1.0,0.0,3175,pass,
glucose_01_c0_wB03,glucose_01_c0,glucose,1,0.0,B03,2,3,crops/glucose/glucose_01_c0/glucose_01_c0_wB03.png,69.34,112.167545,114.0,12.535782,12.0,129.46818,131.0,12.58326,12.0,150.581003,152.0,12.649664,13.0,0.257072,0.254902,0.027091,0.023529,0.590514,0.596078,0.049607,0.05098,213.314262,1.77626,0.99952,-0.548967,-0.835269,0.285457,0.286432,0.330052,0.330166,0.38449,0.383495,130.738909,132.333333,215.0,220.0,223.0,-101.0,-89.0,-71.0,0.530233,0.595455,0.681614,7401,7401,0,0.0,1.0,0.0,3672,pass,
glucose_01_c0_wB04,glucose_01_c0,glucose,1,0.0,B04,2,4,crops/glucose/glucose_01_c0/glucose_01_c0_wB04.png,70.686,108.368455,109.0,8.090121,10.0,126.361699,127.0,8.224764,11.0,148.427309,149.0,8.893182,11.0,0.270297,0.266667,0.017871,0.023529,0.582068,0.584314,0.034875,0.043137,213.115122,1.311822,0.999738,-0.54618,-0.837355,0.282665,0.283117,0.329797,0.329897,0.387538,0.387013,127.719155,128.333333,209.0,213.0,216.0,-100.0,-86.0,-67.0,0.521531,0.596244,0.689815,7697,7697,0,0.0,1.0,0.0,3804,pass,
glucose_01_c0_wB05,glucose_01_c0,glucose,1,0.0,B05,2,5,crops/glucose/glucose_01_c0/glucose_01_c0_wB05.png,69.34,105.67721,106.0,6.718766,9.0,123.094755,123.0,6.850769,9.0,145.038659,145.0,6.938779,9.0,0.271831,0.270588,0.014109,0.019608,0.568779,0.568627,0.027211,0.035294,214.143647,1.273196,0.999753,-0.561131,-0.827429,0.282569,0.282723,0.329281,0.32973,0.38815,0.388298,124.603541,124.333333,215.0,219.0,222.0,-109.0,-96.0,-77.0,0.493023,0.561644,0.653153,7398,7398,0,0.0,1.0,0.0,3651,pass,
glucose_01_c0_wB06,glucose_01_c0,glucose,1,0.0,B06,2,6,crops/glucose/glucose_01_c0/glucose_01_c0_wB06.png,66.422,102.046728,102.0,6.621308,7.0,117.763414,118.0,6.491936,6.0,139.86645,140.0,6.876447,8.0,0.271192,0.270588,0.014826,0.015686,0.548496,0.54902,0.026966,0.031373,215.050322,1.650125,0.999585,-0.574058,-0.818309,0.283566,0.283747,0.327421,0.326923,0.389013,0.389041,119.892197,120.333333,211.0,215.0,219.0,-109.0,-97.0,-79.0,0.483412,0.548837,0.639269,6784,6784,0,0.0,1.0,0.0,3357,pass,
glucose_01_c0_wB07,glucose_01_c0,glucose,1,0.0,B07,2,7,crops/glucose/glucose_01_c0/glucose_01_c0_wB07.png,62.608,104.209114,104.0,6.68538,7.0,120.445236,120.0,6.766145,7.0,142.614085,143.0,6.708219,7.0,0.270158,0.270588,0.013753,0.015686,0.559271,0.560784,0.026307,0.027451,214.949874,1.774155,0.999521,-0.572585,-0.819261,0.283598,0.283747,0.327927,0.327078,0.388475,0.38874,122.422811,122.333333,45.0,54.0,63.0,59.0,66.0,80.0,2.311111,2.222222,2.269841,6035,6035,0,0.0,1.0,0.0,2985,pass,
glucose_01_c0_wB08,glucose_01_c0,glucose,1,0.0,B08,2,8,crops/glucose/glucose_01_c0/glucose_01_c0_wB08.png,70.462,102.402831,103.0,6.327059,7.0,118.026078,118.0,6.218131,7.0,137.7691,138.0,6.450513,8.0,0.257484,0.258824,0.013848,0.015686,0.540271,0.541176,0.025296,0.031373,212.860573,1.73253,0.999543,-0.542349,-0.83961,0.285746,0.286104,0.329508,0.328205,0.384747,0.384824,119.399336,119.333333,214.0,217.0,219.0,-111.0,-99.0,-81.0,0.481308,0.543779,0.630137,7631,7631,0,0.0,1.0,0.0,3795,pass,
glucose_01_c0_wB09,glucose_01_c0,glucose,1,0.0,B09,2,9,crops/glucose/glucose_01_c0/glucose_01_c0_wB09.png,61.934,104.061052,104.0,7.788935,7.0,120.682902,121.0,7.772541,8.0,141.304076,141.0,8.001641,8.0,0.264431,0.262745,0.018703,0.019608,0.554134,0.552941,0.031379,0.031373,213.078553,2.323916,0.999178,-0.54534,-0.837234,0.284051,0.284182,0.329686,0.330556,0.386263,0.385675,122.01601,122.0,46.0,56.0,63.0,58.0,65.0,78.0,2.26087,2.160714,2.238095,5913,5913,0,0.0,1.0,0.0,2925,pass,
glucose_01_c0_wB10,glucose_01_c0,glucose,1,0.0,B10,2,10,crops/glucose/glucose_01_c0/glucose_01_c0_wB10.png,65.974,106.858443,107.0,9.41984,10.0,122.664827,123.0,9.335658,10.0,141.237619,141.0,9.390022,10.0,0.244417,0.243137,0.02147,0.023529,0.553873,0.552941,0.036824,0.039216,212.358908,1.814321,0.999499,-0.534953,-0.844289,0.28792,0.288089,0.330836,0.330484,0.381244,0.381081,123.586963,124.0,150.0,157.0,162.0,-43.0,-34.0,-21.0,0.713333,0.783439,0.87037,6704,6704,0,0.0,1.0,0.0,3331,pass,
glucose_01_c0_wB11,glucose_01_c0,glucose,1,0.0,B11,2,11,crops/glucose/glucose_01_c0/glucose_01_c0_wB11.png,69.34,106.254526,106.0,10.883881,10.0,122.621589,122.0,11.007852,10.0,139.116455,139.0,11.114639,11.0,0.237996,0.235294,0.02674,0.019608,0.545555,0.545098,0.043587,0.043137,210.214614,1.005995,0.999846,-0.503163,-0.864013,0.288247,0.288515,0.333216,0.333333,0.378537,0.378151,122.66419,122.0,211.0,215.0,218.0,-105.0,-93.0,-79.0,0.50237,0.567442,0.637615,7402,7402,0,0.0,1.0,0.0,3669,pass,
glucose_01_c0_wB12,glucose_01_c0,glucose,1,0.0,B12,2,12,crops/glucose/glucose_01_c0/glucose_01_c0_wB12.png,69.788,101.458533,102.0,7.660149,9.0,113.1652,114.0,7.366648,9.0,130.6664,132.0,7.516926,9.0,0.224339,0.223529,0.017075,0.019608,0.512417,0.517647,0.029478,0.035294,216.288868,2.870803,0.998746,-0.591114,-0.805032,0.293641,0.293413,0.327743,0.327536,0.378616,0.378223,115.096711,116.333333,210.0,214.0,216.0,-108.0,-100.0,-84.0,0.485714,0.53271,0.611111,7500,7500,0,0.0,1.0,0.0,3713,pass,
glucose_01_c0_wC01,glucose_01_c0,glucose,1,0.0,C01,3,1,crops/glucose/glucose_01_c0/glucose_01_c0_wC01.png,61.934,120.269615,122.0,10.36023,12.0,137.994577,139.0,10.714405,13.0,159.079986,160.0,10.289376,12.0,0.245015,0.243137,0.019464,0.023529,0.623843,0.627451,0.04035,0.047059,212.968726,2.233798,0.99924,-0.543768,-0.83833,0.287922,0.288889,0.330583,0.330827,0.381495,0.380835,139.114726,140.333333,128.5,139.0,147.5,-6.5,0.0,12.5,0.949416,1.0,1.084746,5901,5901,0,0.0,1.0,0.0,2920,pass,
glucose_01_c0_wC02,glucose_01_c0,glucose,1,0.0,C02,3,2,crops/glucose/glucose_01_c0/glucose_01_c0_wC02.png,69.115,96.952071,97.0,10.043166,12.0,111.541616,111.0,10.039653,12.0,131.634487,132.0,10.158914,12.0,0.265028,0.266667,0.024481,0.027451,0.516214,0.517647,0.039839,0.047059,214.443676,2.231777,0.999242,-0.565167,-0.824057,0.284657,0.2849,0.327902,0.327684,0.387441,0.387283,113.376058,113.333333,212.0,217.0,221.0,-115.0,-106.0,-89.0,0.457547,0.511521,0.597285,7365,7365,0,0.0,1.0,0.0,3655,pass,
glucose_01_c0_wC03,glucose_01_c0,glucose,1,0.0,C03,3,3,crops/glucose/glucose_01_c0/glucose_01_c0_wC03.png,65.974,98.998804,100.0,9.481822,10.0,115.296368,116.0,9.505493,10.0,135.009565,136.0,9.277658,9.0,0.268212,0.266667,0.022673,0.023529,0.529449,0.533333,0.036383,0.035294,212.284559,1.614389,0.999603,-0.533913,-0.84507,0.283046,0.284058,0.330034,0.330357,0.38692,0.386555,116.434913,117.0,213.0,218.0,222.0,-113.0,-102.0,-86.0,0.469484,0.53211,0.612613,6691,6691,0,0.0,1.0,0.0,3311,pass,
glucose_01_c0_wC04,glucose_01_c0,glucose,1,0.0,C04,3,4,crops/glucose/glucose_01_c0/glucose_01_c0_wC04.png,69.788,100.345928,101.0,7.731204,7.0,116.588117,117.0,7.702048,8.0,138.584379,139.0,7.96921,8.0,0.277047,0.278431,0.018222,0.019608,0.543468,0.545098,0.031252,0.031373,214.80858,1.935107,0.99943,-0.570511,-0.820596,0.282016,0.282486,0.327931,0.326975,0.390053,0.39039,118.506142,119.333333,210.0,215.0,219.0,-109.0,-98.0,-80.0,0.480952,0.544186,0.634703,7490,7490,0,0.0,1.0,0.0,3701,pass,
glucose_01_c0_wC05,glucose_01_c0,glucose,1,0.0,C05,3,5,crops/glucose/glucose_01_c0/glucose_01_c0_wC05.png,66.422,97.308315,98.0,8.093358,9.0,113.396762,114.0,8.079683,9.0,135.108609,135.0,8.233869,9.0,0.280881,0.278431,0.018931,0.019608,0.529838,0.529412,0.03229,0.035294,214.496296,1.890229,0.999456,-0.566045,-0.823714,0.281125,0.28125,0.327895,0.326975,0.39098,0.390909,115.271229,115.666667,196.0,200.0,205.0,-98.0,-86.0,-70.0,0.5,0.57,0.658537,6795,6795,0,0.0,1.0,0.0,3363,pass,
glucose_01_c0_wC06,glucose_01_c0,glucose,1,0.0,C06,3,6,crops/glucose/glucose_01_c0/glucose_01_c0_wC06.png,61.71,93.99403,94.0,7.968478,9.0,109.038888,109.0,7.896797,9.0,129.115299,130.0,8.201934,8.0,0.273206,0.27451,0.018328,0.019608,0.506335,0.509804,0.032164,0.031373,213.758513,1.138378,0.999803,-0.555584,-0.831223,0.282721,0.282738,0.328285,0.327586,0.388995,0.388889,110.716073,111.0,36.0,43.0,53.0,58.0,66.0,77.0,2.611111,2.534884,2.45283,5863,5863,0,0.0,1.0,0.0,2914,pass,
glucose_01_c0_wC07,glucose_01_c0,glucose,1,0.0,C07,3,7,crops/glucose/glucose_01_c0/glucose_01_c0_wC07.png,70.91,97.167916,98.0,7.028738,8.0,112.544597,113.0,6.98357,8.0,134.226861,135.0,7.03745,8.0,0.276949,0.27451,0.016921,0.019608,0.52638,0.529412,0.027598,0.031373,214.698806,2.100346,0.999328,-0.56888,-0.821604,0.282319,0.282486,0.327206,0.327027,0.390476,0.39039,114.646458,115.0,214.0,218.0,221.0,-116.0,-105.0,-86.0,0.457944,0.518349,0.61086,7736,7736,0,0.0,1.0,0.0,3836,pass,
glucose_01_c0_wC08,glucose_01_c0,glucose,1,0.0,C08,3,8,crops/glucose/glucose_01_c0/glucose_01_c0_wC08.png,66.647,95.095552,95.0,6.62235,6.0,110.299678,110.0,6.526866,6.0,130.69403,131.0,6.571607,7.0,0.273328,0.27451,0.016235,0.015686,0.512526,0.513725,0.025771,0.027451,213.764194,1.096771,0.999817,-0.555674,-0.83118,0.282771,0.283077,0.328175,0.327536,0.389055,0.389381,112.029753,112.0,207.0,212.0,216.0,-112.0,-102.0,-85.0,0.458937,0.518868,0.606481,6834,6834,0,0.0,1.0,0.0,3412,pass,
glucose_01_c0_wC09,glucose_01_c0,glucose,1,0.0,C09,3,9,crops/glucose/glucose_01_c0/glucose_01_c0_wC09.png,64.627,99.00872,100.0,16.057179,11.75,115.141078,116.0,16.139806,12.0,134.39318,136.0,16.219676,11.0,0.269492,0.262745,0.059318,0.027451,0.527032,0.533333,0.063607,0.043137,212.358125,1.711485,0.999554,-0.534971,-0.844343,0.28209,0.284507,0.330254,0.330383,0.387656,0.385294,116.180992,117.333333,183.0,189.0,192.0,-83.0,-73.0,-56.0,0.546448,0.613757,0.708333,6422,6422,0,0.0,1.0,0.0,3185,pass,
glucose_01_c0_wC10,glucose_01_c0,glucose,1,0.0,C10,3,10,crops/glucose/glucose_01_c0/glucose_01_c0_wC10.png,62.608,101.391816,102.0,9.280711,9.0,116.883366,117.0,9.180845,9.0,135.079854,135.0,9.260456,8.0,0.25071,0.247059,0.023484,0.019608,0.529725,0.529412,0.036316,0.031373,212.461296,1.946283,0.999423,-0.53642,-0.843268,0.286567,0.287356,0.330775,0.329759,0.382657,0.381868,117.785012,118.333333,55.0,62.0,69.0,47.0,55.0,66.0,1.854545,1.887097,1.956522,6036,6036,0,0.0,1.0,0.0,2994,pass,
glucose_01_c0_wC11,glucose_01_c0,glucose,1,0.0,C11,3,11,crops/glucose/glucose_01_c0/glucose_01_c0_wC11.png,65.749,103.486251,104.0,6.956001,8.0,118.606912,119.0,6.866043,8.0,136.6287,137.0,7.146251,8.0,0.242982,0.243137,0.014948,0.015686,0.535799,0.537255,0.028025,0.031373,212.898717,1.828163,0.999491,-0.542879,-0.839205,0.288331,0.288462,0.330647,0.32973,0.381022,0.381081,119.573954,120.0,201.0,206.0,210.0,-97.0,-87.0,-73.0,0.517413,0.57767,0.652381,6655,6655,0,0.0,1.0,0.0,3306,pass,
glucose_01_c0_wC12,glucose_01_c0,glucose,1,0.0,C12,3,12,crops/glucose/glucose_01_c0/glucose_01_c0_wC12.png,70.237,102.573986,103.0,7.480424,9.0,117.807925,118.0,7.66286,9.0,135.120985,135.0,7.749737,9.0,0.241461,0.239216,0.016451,0.019608,0.529886,0.529412,0.030391,0.035294,211.978896,2.240229,0.999236,-0.529202,-0.847595,0.288374,0.288401,0.331367,0.33241,0.380259,0.379947,118.500965,119.0,207.0,211.0,214.0,-104.0,-93.0,-79.0,0.497585,0.559242,0.630841,7596,7596,0,0.0,1.0,0.0,3784,pass,
glucose_01_c0_wD01,glucose_01_c0,glucose,1,0.0,D01,4,1,crops/glucose/glucose_01_c0/glucose_01_c0_wD01.png,68.891,126.03083,127.0,11.564125,16.0,144.86051,146.0,11.668752,15.0,166.581255,168.0,11.682485,15.0,0.244639,0.243137,0.019922,0.027451,0.65326,0.658824,0.045814,0.058824,212.291197,2.154612,0.999293,-0.533845,-0.844746,0.287809,0.287946,0.331103,0.330579,0.381088,0.38041,145.824198,147.0,214.0,220.0,224.0,-87.0,-74.0,-56.0,0.593458,0.663636,0.75,7298,7298,0,0.0,1.0,0.0,3636,pass,
glucose_01_c0_wD02,glucose_01_c0,glucose,1,0.0,D02,4,2,crops/glucose/glucose_01_c0/glucose_01_c0_wD02.png,65.3,96.985231,99.0,10.644871,13.0,113.334805,115.0,10.541279,13.0,132.875152,135.0,10.810752,13.0,0.271902,0.270588,0.025106,0.031373,0.521079,0.529412,0.042395,0.05098,212.322395,2.22656,0.999245,-0.534279,-0.844415,0.28211,0.282967,0.330241,0.330484,0.387648,0.387006,114.398396,116.333333,209.0,214.0,218.0,-110.0,-99.0,-83.0,0.473684,0.537383,0.619266,6568,6568,0,0.0,1.0,0.0,3278,pass,
glucose_01_c0_wD03,glucose_01_c0,glucose,1,0.0,D03,4,3,crops/glucose/glucose_01_c0/glucose_01_c0_wD03.png,66.422,98.287145,99.0,9.740138,12.0,113.569136,114.0,9.727787,12.0,135.692092,136.0,9.808993,12.0,0.27707,0.27451,0.026476,0.031373,0.532126,0.533333,0.038467,0.047059,215.498829,2.237882,0.999238,-0.580244,-0.813507,0.282416,0.283069,0.326722,0.326648,0.390862,0.390244,115.849458,116.333333,206.0,211.0,215.0,-107.0,-97.0,-79.0,0.480583,0.540284,0.632558,6791,6791,0,0.0,1.0,0.0,3373,pass,
glucose_01_c0_wD04,glucose_01_c0,glucose,1,0.0,D04,4,4,crops/glucose/glucose_01_c0/glucose_01_c0_wD04.png,70.462,90.826724,92.0,10.091017,12.0,107.04646,108.0,10.005067,13.0,129.247219,130.0,10.465504,13.0,0.299055,0.294118,0.025672,0.031373,0.506852,0.509804,0.041041,0.05098,214.85935,1.891321,0.999455,-0.571253,-0.820111,0.277161,0.277966,0.327231,0.32659,0.395607,0.394659,109.040134,110.0,212.0,217.0,220.0,-120.0,-109.0,-90.0,0.433962,0.497696,0.590909,7641,7641,0,0.0,1.0,0.0,3787,pass,
glucose_01_c0_wD05,glucose_01_c0,glucose,1,0.0,D05,4,5,crops/glucose/glucose_01_c0/glucose_01_c0_wD05.png,65.974,89.668752,91.0,10.327763,12.0,106.125261,107.0,10.117935,13.0,126.138814,127.0,10.507431,13.0,0.291084,0.286275,0.027701,0.031373,0.494662,0.498039,0.041206,0.05098,212.73034,1.90352,0.999448,-0.540388,-0.84076,0.277962,0.278932,0.329673,0.330033,0.392365,0.391975,107.310942,108.333333,204.0,209.0,212.0,-113.0,-102.0,-85.0,0.446078,0.511962,0.599057,6714,6714,0,0.0,1.0,0.0,3331,pass,
glucose_01_c0_wD06,glucose_01_c0,glucose,1,0.0,D06,4,6,crops/glucose/glucose_01_c0/glucose_01_c0_wD06.png,60.588,85.767327,86.5,11.343376,14.0,101.075672,102.0,11.556833,15.0,120.488861,121.0,11.65295,15.0,0.290761,0.286275,0.032196,0.035294,0.472505,0.47451,0.045698,0.058824,213.361376,1.838422,0.999485,-0.549635,-0.834789,0.278354,0.279365,0.328794,0.328767,0.392852,0.391447,102.443953,103.333333,26.0,33.0,43.0,60.5,69.0,78.0,3.326923,3.090909,2.813953,5656,5656,0,0.0,1.0,0.0,2817,pass,
glucose_01_c0_wD07,glucose_01_c0,glucose,1,0.0,D07,4,7,crops/glucose/glucose_01_c0/glucose_01_c0_wD07.png,71.135,86.55359,87.0,7.018123,8.0,103.284744,104.0,7.1113,8.0,122.57641,123.0,7.199363,9.0,0.294726,0.294118,0.018946,0.023529,0.480692,0.482353,0.028233,0.035294,211.670174,2.13393,0.999307,-0.524665,-0.850494,0.276793,0.276923,0.330588,0.330247,0.392618,0.392523,104.138248,104.333333,208.0,213.0,216.0,-121.0,-109.0,-93.0,0.418269,0.488263,0.569444,7800,7800,0,0.0,1.0,0.0,3853,pass,
