patch_id,image_id,analyte,concentration_order,concentration_mg_ml,well_id,grid_row,grid_col,canonical_width_px,canonical_height_px,center_x_px,center_y_px,circle_radius_px,crop_x0_px,crop_y0_px,crop_x1_px,crop_y1_px,crop_width_px,crop_height_px,crop_file,grid_residual_px,hough_param2,candidate_count,qc_status
glucose_01_c0_wC09,glucose_01_c0,glucose,1,0.0,C09,3,9,2992,2992,1872.618,1228.59,64.627,1796,1152,1951,1307,155,155,crops/glucose/glucose_01_c0/glucose_01_c0_wC09.png,4.157,45,97,pass_geometry
glucose_01_c0_wC10,glucose_01_c0,glucose,1,0.0,C10,3,10,2992,2992,2058.87,1228.59,62.608,1985,1155,2134,1304,149,149,crops/glucose/glucose_01_c0/glucose_01_c0_wC10.png,1.483,45,97,pass_geometry
glucose_01_c0_wC11,glucose_01_c0,glucose,1,0.0,C11,3,11,2992,2992,2242.878,1226.346,65.749,2165,1148,2322,1305,157,157,crops/glucose/glucose_01_c0/glucose_01_c0_wC11.png,5.104,45,97,pass_geometry
glucose_01_c0_wC12,glucose_01_c0,glucose,1,0.0,C12,3,12,2992,2992,2426.886,1215.126,70.237,2344,1132,2511,1299,167,167,crops/glucose/glucose_01_c0/glucose_01_c0_wC12.png,3.979,45,97,pass_geometry
glucose_01_c0_wD01,glucose_01_c0,glucose,1,0.0,D01,4,1,2992,2992,411.774,1457.478,68.891,330,1375,495,1540,165,165,crops/glucose/glucose_01_c0/glucose_01_c0_wD01.png,3.525,45,97,pass_geometry
glucose_01_c0_wD02,glucose_01_c0,glucose,1,0.0,D02,4,2,2992,2992,593.538,1448.502,65.3,516,1371,673,1528,157,157,crops/glucose/glucose_01_c0/glucose_01_c0_wD02.png,6.934,45,97,pass_geometry
glucose_01_c0_wD03,glucose_01_c0,glucose,1,0.0,D03,4,3,2992,2992,770.814,1444.014,66.422,692,1365,851,1524,159,159,crops/glucose/glucose_01_c0/glucose_01_c0_wD03.png,7.352,45,97,pass_geometry
glucose_01_c0_wD04,glucose_01_c0,glucose,1,0.0,D04,4,4,2992,2992,952.578,1446.258,70.462,869,1362,1038,1531,169,169,crops/glucose/glucose_01_c0/glucose_01_c0_wD04.png,5.629,45,97,pass_geometry
glucose_01_c0_wD05,glucose_01_c0,glucose,1,0.0,D05,4,5,2992,2992,1132.098,1444.014,65.974,1054,1366,1211,1523,157,157,crops/glucose/glucose_01_c0/glucose_01_c0_wD05.png,10.363,45,97,pass_geometry
glucose_01_c0_wD06,glucose_01_c0,glucose,1,0.0,D06,4,6,2992,2992,1322.838,1435.038,60.588,1251,1363,1396,1508,145,145,crops/glucose/glucose_01_c0/glucose_01_c0_wD06.png,2.534,45,97,pass_geometry
glucose_01_c0_wD07,glucose_01_c0,glucose,1,0.0,D07,4,7,2992,2992,1511.334,1430.55,71.135,1427,1347,1596,1516,169,169,crops/glucose/glucose_01_c0/glucose_01_c0_wD07.png,2.56,45,97,pass_geometry
glucose_01_c0_wD08,glucose_01_c0,glucose,1,0.0,D08,4,8,2992,2992,1693.098,1426.062,71.135,1609,1342,1778,1511,169,169,crops/glucose/glucose_01_c0/glucose_01_c0_wD08.png,2.701,45,97,pass_geometry
glucose_01_c0_wD09,glucose_01_c0,glucose,1,0.0,D09,4,9,2992,2992,1881.594,1419.33,69.115,1800,1337,1965,1502,165,165,crops/glucose/glucose_01_c0/glucose_01_c0_wD09.png,2.831,45,97,pass_geometry
glucose_01_c0_wD10,glucose_01_c0,glucose,1,0.0,D10,4,10,2992,2992,2061.114,1417.086,66.422,1982,1338,2141,1497,159,159,crops/glucose/glucose_01_c0/glucose_01_c0_wD10.png,5.383,45,97,pass_geometry
glucose_01_c0_wD11,glucose_01_c0,glucose,1,0.0,D11,4,11,2992,2992,2247.366,1405.866,70.237,2164,1323,2331,1490,167,167,crops/glucose/glucose_01_c0/glucose_01_c0_wD11.png,3.246,45,97,pass_geometry
glucose_01_c0_wD12,glucose_01_c0,glucose,1,0.0,D12,4,12,2992,2992,2424.642,1396.89,65.076,2348,1320,2503,1475,155,155,crops/glucose/glucose_01_c0/glucose_01_c0_wD12.png,12.845,45,97,pass_geometry
glucose_01_c0_wE01,glucose_01_c0,glucose,1,0.0,E01,5,1,2992,2992,418.506,1639.242,68.666,337,1557,502,1722,165,165,crops/glucose/glucose_01_c0/glucose_01_c0_wE01.png,6.097,45,97,pass_geometry
glucose_01_c0_wE02,glucose_01_c0,glucose,1,0.0,E02,5,2,2992,2992,598.026,1636.998,63.505,523,1562,674,1713,151,151,crops/glucose/glucose_01_c0/glucose_01_c0_wE02.png,2.509,45,97,pass_geometry
glucose_01_c0_wE03,glucose_01_c0,glucose,1,0.0,E03,5,3,2992,2992,777.546,1634.754,62.832,703,1560,854,1711,151,151,crops/glucose/glucose_01_c0/glucose_01_c0_wE03.png,2.897,45,97,pass_geometry
glucose_01_c0_wE04,glucose_01_c0,glucose,1,0.0,E04,5,4,2992,2992,963.798,1630.266,70.462,880,1546,1049,1715,169,169,crops/glucose/glucose_01_c0/glucose_01_c0_wE04.png,0.996,45,97,pass_geometry
glucose_01_c0_wE05,glucose_01_c0,glucose,1,0.0,E05,5,5,2992,2992,1150.05,1623.534,67.096,1070,1544,1231,1705,161,161,crops/glucose/glucose_01_c0/glucose_01_c0_wE05.png,3.238,45,97,pass_geometry
glucose_01_c0_wE06,glucose_01_c0,glucose,1,0.0,E06,5,6,2992,2992,1336.302,1623.534,66.871,1257,1545,1416,1704,159,159,crops/glucose/glucose_01_c0/glucose_01_c0_wE06.png,7.123,45,97,pass_geometry
glucose_01_c0_wE07,glucose_01_c0,glucose,1,0.0,E07,5,7,2992,2992,1520.31,1612.314,66.647,1441,1533,1600,1692,159,159,crops/glucose/glucose_01_c0/glucose_01_c0_wE07.png,5.637,45,97,pass_geometry
glucose_01_c0_wE08,glucose_01_c0,glucose,1,0.0,E08,5,8,2992,2992,1704.318,1616.802,64.403,1628,1541,1781,1694,153,153,crops/glucose/glucose_01_c0/glucose_01_c0_wE08.png,9.259,45,97,pass_geometry
glucose_01_c0_wE09,glucose_01_c0,glucose,1,0.0,E09,5,9,2992,2992,1888.326,1605.582,61.261,1815,1533,1962,1680,147,147,crops/glucose/glucose_01_c0/glucose_01_c0_wE09.png,4.198,45,97,pass_geometry
glucose_01_c0_wE10,glucose_01_c0,glucose,1,0.0,E10,5,10,2992,2992,2079.066,1596.606,66.422,2000,1518,2159,1677,159,159,crops/glucose/glucose_01_c0/glucose_01_c0_wE10.png,9.299,45,97,pass_geometry
glucose_01_c0_wE11,glucose_01_c0,glucose,1,0.0,E11,5,11,2992,2992,2258.586,1589.874,61.71,2186,1517,2333,1664,147,147,crops/glucose/glucose_01_c0/glucose_01_c0_wE11.png,4.502,45,97,pass_geometry
glucose_01_c0_wE12,glucose_01_c0,glucose,1,0.0,E12,5,12,2992,2992,2440.35,1585.386,60.364,2368,1513,2513,1658,145,145,crops/glucose/glucose_01_c0/glucose_01_c0_wE12.png,3.29,45,97,pass_geometry
glucose_01_c0_wF01,glucose_01_c0,glucose,1,0.0,F01,6,1,2992,2992,420.75,1825.494,69.34,339,1743,504,1908,165,165,crops/glucose/glucose_01_c0/glucose_01_c0_wF01.png,3.063,45,97,pass_geometry
glucose_01_c0_wF02,glucose_01_c0,glucose,1,0.0,F02,6,2,2992,2992,602.514,1827.738,65.749,525,1750,682,1907,157,157,crops/glucose/glucose_01_c0/glucose_01_c0_wF02.png,4.112,45,97,pass_geometry
glucose_01_c0_wF03,glucose_01_c0,glucose,1,0.0,F03,6,3,2992,2992,782.034,1821.006,70.013,699,1738,866,1905,167,167,crops/glucose/glucose_01_c0/glucose_01_c0_wF03.png,4.41,45,97,pass_geometry
glucose_01_c0_wF04,glucose_01_c0,glucose,1,0.0,F04,6,4,2992,2992,966.042,1816.518,71.359,881,1732,1052,1903,171,171,crops/glucose/glucose_01_c0/glucose_01_c0_wF04.png,3.876,45,97,pass_geometry
glucose_01_c0_wF05,glucose_01_c0,glucose,1,0.0,F05,6,5,2992,2992,1143.318,1809.786,67.32,1063,1730,1224,1891,161,161,crops/glucose/glucose_01_c0/glucose_01_c0_wF05.png,9.075,45,97,pass_geometry
glucose_01_c0_wF06,glucose_01_c0,glucose,1,0.0,F06,6,6,2992,2992,1334.058,1805.298,70.91,1250,1721,1419,1890,169,169,crops/glucose/glucose_01_c0/glucose_01_c0_wF06.png,2.459,45,97,pass_geometry
glucose_01_c0_wF07,glucose_01_c0,glucose,1,0.0,F07,6,7,2992,2992,1524.798,1800.81,67.32,1445,1721,1606,1882,161,161,crops/glucose/glucose_01_c0/glucose_01_c0_wF07.png,4.65,45,97,pass_geometry
glucose_01_c0_wF08,glucose_01_c0,glucose,1,0.0,F08,6,8,2992,2992,1704.318,1796.322,69.34,1622,1714,1787,1879,165,165,crops/glucose/glucose_01_c0/glucose_01_c0_wF08.png,2.215,45,97,pass_geometry
glucose_01_c0_wF09,glucose_01_c0,glucose,1,0.0,F09,6,9,2992,2992,1890.57,1791.834,69.115,1809,1710,1974,1875,165,165,crops/glucose/glucose_01_c0/glucose_01_c0_wF09.png,2.575,45,97,pass_geometry
glucose_01_c0_wF10,glucose_01_c0,glucose,1,0.0,F10,6,10,2992,2992,2072.334,1782.858,67.32,1992,1703,2153,1864,161,161,crops/glucose/glucose_01_c0/glucose_01_c0_wF10.png,3.545,45,97,pass_geometry
glucose_01_c0_wF11,glucose_01_c0,glucose,1,0.0,F11,6,11,2992,2992,2265.318,1773.882,65.749,2187,1696,2344,1853,157,157,crops/glucose/glucose_01_c0/glucose_01_c0_wF11.png,6.758,45,97,pass_geometry
glucose_01_c0_wF12,glucose_01_c0,glucose,1,0.0,F12,6,12,2992,2992,2449.326,1769.394,66.422,2370,1690,2529,1849,159,159,crops/glucose/glucose_01_c0/glucose_01_c0_wF12.png,5.291,45,97,pass_geometry
glucose_01_c0_wG01,glucose_01_c0,glucose,1,0.0,G01,7,1,2992,2992,429.726,2011.746,65.3,352,1934,509,2091,157,157,crops/glucose/glucose_01_c0/glucose_01_c0_wG01.png,3.517,45,97,pass_geometry
glucose_01_c0_wG02,glucose_01_c0,glucose,1,0.0,G02,7,2,2992,2992,611.49,2007.258,67.769,531,1927,692,2088,161,161,crops/glucose/glucose_01_c0/glucose_01_c0_wG02.png,2.959,45,97,pass_geometry
glucose_01_c0_wG03,glucose_01_c0,glucose,1,0.0,G03,7,3,2992,2992,788.766,1998.282,66.871,710,1919,869,2078,159,159,crops/glucose/glucose_01_c0/glucose_01_c0_wG03.png,5.54,45,97,pass_geometry
glucose_01_c0_wG04,glucose_01_c0,glucose,1,0.0,G04,7,4,2992,2992,975.018,2005.014,67.993,894,1924,1057,2087,163,163,crops/glucose/glucose_01_c0/glucose_01_c0_wG04.png,6.524,45,97,pass_geometry
glucose_01_c0_wG05,glucose_01_c0,glucose,1,0.0,G05,7,5,2992,2992,1154.538,1996.038,70.91,1071,1912,1240,2081,169,169,crops/glucose/glucose_01_c0/glucose_01_c0_wG05.png,3.972,45,97,pass_geometry
glucose_01_c0_wG06,glucose_01_c0,glucose,1,0.0,G06,7,6,2992,2992,1338.546,1987.062,66.871,1260,1908,1419,2067,159,159,crops/glucose/glucose_01_c0/glucose_01_c0_wG06.png,3.756,45,97,pass_geometry
glucose_01_c0_wG07,glucose_01_c0,glucose,1,0.0,G07,7,7,2992,2992,1527.042,1991.55,64.852,1450,1915,1605,2070,155,155,crops/glucose/glucose_01_c0/glucose_01_c0_wG07.png,7.249,45,97,pass_geometry
glucose_01_c0_wG08,glucose_01_c0,glucose,1,0.0,G08,7,8,2992,2992,1706.562,1978.086,66.647,1628,1899,1787,2058,159,159,crops/glucose/glucose_01_c0/glucose_01_c0_wG08.png,4.345,45,97,pass_geometry
glucose_01_c0_wG09,glucose_01_c0,glucose,1,0.0,G09,7,9,2992,2992,1897.302,1975.842,61.486,1824,1903,1971,2050,147,147,crops/glucose/glucose_01_c0/glucose_01_c0_wG09.png,1.88,45,97,pass_geometry
glucose_01_c0_wG10,glucose_01_c0,glucose,1,0.0,G10,7,10,2992,2992,2081.31,1969.11,71.135,1997,1885,2166,2054,169,169,crops/glucose/glucose_01_c0/glucose_01_c0_wG10.png,1.056,45,97,pass_geometry
glucose_01_c0_wG11,glucose_01_c0,glucose,1,0.0,G11,7,11,2992,2992,2274.294,1962.378,65.749,2196,1884,2353,2041,157,157,crops/glucose/glucose_01_c0/glucose_01_c0_wG11.png,7.903,45,97,pass_geometry
glucose_01_c0_wG12,glucose_01_c0,glucose,1,0.0,G12,7,12,2992,2992,2447.082,1955.646,65.525,2369,1878,2526,2035,157,157,crops/glucose/glucose_01_c0/glucose_01_c0_wG12.png,7.915,45,97,pass_geometry
glucose_01_c0_wH01,glucose_01_c0,glucose,1,0.0,H01,8,1,2992,2992,431.97,2193.51,70.91,348,2110,517,2279,169,169,crops/glucose/glucose_01_c0/glucose_01_c0_wH01.png,3.124,45,97,pass_geometry
glucose_01_c0_wH02,glucose_01_c0,glucose,1,0.0,H02,8,2,2992,2992,615.978,2189.022,68.218,535,2108,698,2271,163,163,crops/glucose/glucose_01_c0/glucose_01_c0_wH02.png,3.69,45,97,pass_geometry
glucose_01_c0_wH03,glucose_01_c0,glucose,1,0.0,H03,8,3,2992,2992,795.498,2186.778,72.706,709,2101,882,2274,173,173,crops/glucose/glucose_01_c0/glucose_01_c0_wH03.png,1.506,45,97,pass_geometry
glucose_01_c0_wH04,glucose_01_c0,glucose,1,0.0,H04,8,4,2992,2992,979.506,2186.778,71.584,895,2102,1066,2273,171,171,crops/glucose/glucose_01_c0/glucose_01_c0_wH04.png,3.627,45,97,pass_geometry
glucose_01_c0_wH05,glucose_01_c0,glucose,1,0.0,H05,8,5,2992,2992,1161.27,2177.802,68.218,1080,2097,1243,2260,163,163,crops/glucose/glucose_01_c0/glucose_01_c0_wH05.png,2.209,45,97,pass_geometry
glucose_01_c0_wH06,glucose_01_c0,glucose,1,0.0,H06,8,6,2992,2992,1352.01,2177.802,72.257,1266,2092,1439,2265,173,173,crops/glucose/glucose_01_c0/glucose_01_c0_wH06.png,6.05,45,97,pass_geometry
glucose_01_c0_wH07,glucose_01_c0,glucose,1,0.0,H07,8,7,2992,2992,1536.018,2171.07,72.032,1451,2086,1622,2257,171,171,crops/glucose/glucose_01_c0/glucose_01_c0_wH07.png,4.771,45,97,pass_geometry
glucose_01_c0_wH08,glucose_01_c0,glucose,1,0.0,H08,8,8,2992,2992,1722.27,2168.826,61.037,1649,2096,1796,2243,147,147,crops/glucose/glucose_01_c0/glucose_01_c0_wH08.png,7.171,45,97,pass_geometry
glucose_01_c0_wH09,glucose_01_c0,glucose,1,0.0,H09,8,9,2992,2992,1908.522,2162.094,63.056,1834,2087,1985,2238,151,151,crops/glucose/glucose_01_c0/glucose_01_c0_wH09.png,7.456,45,97,pass_geometry
glucose_01_c0_wH10,glucose_01_c0,glucose,1,0.0,H10,8,10,2992,2992,2090.286,2153.118,65.974,2012,2075,2169,2232,157,157,crops/glucose/glucose_01_c0/glucose_01_c0_wH10.png,4.587,45,97,pass_geometry
glucose_01_c0_wH11,glucose_01_c0,glucose,1,0.0,H11,8,11,2992,2992,2281.026,2153.118,66.198,2202,2074,2361,2233,159,159,crops/glucose/glucose_01_c0/glucose_01_c0_wH11.png,8.61,45,97,pass_geometry
glucose_01_c0_wH12,glucose_01_c0,glucose,1,0.0,H12,8,12,2992,2992,2462.79,2141.898,71.359,2378,2057,2549,2228,171,171,crops/glucose/glucose_01_c0/glucose_01_c0_wH12.png,6.317,45,97,pass_geometry
glucose_02_c0.01_wA01,glucose_02_c0.01,glucose,2,0.01,A01,1,1,2992,2992,537.438,885.258,63.73,461,809,614,962,153,153,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wA01.png,1.855,45,96,pass_geometry
glucose_02_c0.01_wA02,glucose_02_c0.01,glucose,2,0.01,A02,1,2,2992,2992,716.958,887.502,69.34,635,806,800,971,165,165,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wA02.png,5.059,45,96,pass_geometry
glucose_02_c0.01_wA03,glucose_02_c0.01,glucose,2,0.01,A03,1,3,2992,2992,903.21,878.526,63.056,828,804,979,955,151,151,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wA03.png,4.105,45,96,pass_geometry
glucose_02_c0.01_wA04,glucose_02_c0.01,glucose,2,0.01,A04,1,4,2992,2992,1087.218,887.502,62.608,1013,814,1162,963,149,149,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wA04.png,7.064,45,96,pass_geometry
glucose_02_c0.01_wA05,glucose_02_c0.01,glucose,2,0.01,A05,1,5,2992,2992,1266.738,880.77,68.891,1185,799,1350,964,165,165,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wA05.png,4.06,45,96,pass_geometry
glucose_02_c0.01_wA06,glucose_02_c0.01,glucose,2,0.01,A06,1,6,2992,2992,1455.234,878.526,65.525,1377,801,1534,958,157,157,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wA06.png,3.09,45,96,pass_geometry
glucose_02_c0.01_wA07,glucose_02_c0.01,glucose,2,0.01,A07,1,7,2992,2992,1634.754,876.282,69.34,1553,794,1718,959,165,165,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wA07.png,2.831,45,96,pass_geometry
glucose_02_c0.01_wA08,glucose_02_c0.01,glucose,2,0.01,A08,1,8,2992,2992,1816.518,869.55,67.769,1737,790,1898,951,161,161,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wA08.png,4.254,45,96,pass_geometry
glucose_02_c0.01_wA09,glucose_02_c0.01,glucose,2,0.01,A09,1,9,2992,2992,2007.258,871.794,64.403,1931,796,2084,949,153,153,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wA09.png,4.113,45,96,pass_geometry
glucose_02_c0.01_wA10,glucose_02_c0.01,glucose,2,0.01,A10,1,10,2992,2992,2189.022,867.306,65.974,2111,789,2268,946,157,157,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wA10.png,1.676,45,96,pass_geometry
glucose_02_c0.01_wA11,glucose_02_c0.01,glucose,2,0.01,A11,1,11,2992,2992,2366.298,865.062,70.013,2283,782,2450,949,167,167,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wA11.png,5.014,45,96,pass_geometry
glucose_02_c0.01_wA12,glucose_02_c0.01,glucose,2,0.01,A12,1,12,2992,2992,2557.038,860.574,60.812,2485,789,2630,934,145,145,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wA12.png,3.357,45,96,pass_geometry
glucose_02_c0.01_wB01,glucose_02_c0.01,glucose,2,0.01,B01,2,1,2992,2992,537.438,1069.266,69.34,455,987,620,1152,165,165,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wB01.png,2.833,45,96,pass_geometry
glucose_02_c0.01_wB02,glucose_02_c0.01,glucose,2,0.01,B02,2,2,2992,2992,723.69,1067.022,67.769,644,987,805,1148,161,161,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wB02.png,0.685,45,96,pass_geometry
glucose_02_c0.01_wB03,glucose_02_c0.01,glucose,2,0.01,B03,2,3,2992,2992,905.454,1064.778,60.588,833,993,978,1138,145,145,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wB03.png,0.457,45,96,pass_geometry
glucose_02_c0.01_wB04,glucose_02_c0.01,glucose,2,0.01,B04,2,4,2992,2992,1084.974,1064.778,63.056,1010,990,1161,1141,151,151,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wB04.png,4.372,45,96,pass_geometry
glucose_02_c0.01_wB05,glucose_02_c0.01,glucose,2,0.01,B05,2,5,2992,2992,1275.714,1060.29,60.139,1205,989,1348,1132,143,143,crops/glucose/glucose_02_c0.01/glucose_02_c0.01_wB05.png,3.693,45,96,pass_geometry
